subject,responses,word,same,version_with_order,item,Class,string,ambiguity_type,relatedness,version
p7cnykpv2k,"{""Q0"":4}",breakfast,False,M1_a_M2_a,2,N,breakfast,Polysemy,4,M1_a_M2_a
p7cnykpv2k,"{""Q0"":0}",clip,False,M2_a_M1_a,98,N,clip,Homonymy,0,M1_a_M2_a
p7cnykpv2k,"{""Q0"":4}",scene,True,M1_b_M1_a,34,N,scene,Polysemy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":3}",cross,True,M1_b_M1_a,82,V,crossed,Polysemy,3,M1_a_M1_b
p7cnykpv2k,"{""Q0"":3}",file,True,M2_a_M2_b,66,N,file,Homonymy,3,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",dinner,False,M2_b_M1_b,7,N,dinner,Polysemy,4,M1_b_M2_b
p7cnykpv2k,"{""Q0"":2}",cape,True,M2_b_M2_a,57,N,cape,Homonymy,2,M2_a_M2_b
p7cnykpv2k,"{""Q0"":0}",foundation,False,M1_a_M2_b,47,N,foundation,Polysemy,0,M1_a_M2_b
p7cnykpv2k,"{""Q0"":1}",tape,False,M2_b_M1_b,54,N,tape,Polysemy,1,M1_b_M2_b
p7cnykpv2k,"{""Q0"":3}",stake,True,M1_a_M1_b,77,V,staked,Polysemy,3,M1_a_M1_b
p7cnykpv2k,"{""Q0"":4}",lamb,True,M2_b_M2_a,0,N,lamb,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",seal,True,M2_a_M2_b,62,N,seal,Homonymy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",position,True,M2_a_M2_b,33,N,position,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":1}",term,False,M1_a_M2_a,35,N,term,Polysemy,1,M1_a_M2_a
p7cnykpv2k,"{""Q0"":2}",block,False,M1_b_M2_a,38,N,block,Polysemy,2,M1_b_M2_a
p7cnykpv2k,"{""Q0"":3}",load,False,M1_a_M2_a,96,V,loaded,Polysemy,3,M1_a_M2_a
p7cnykpv2k,"{""Q0"":1}",run,False,M1_a_M2_b,83,V,ran,Polysemy,1,M1_a_M2_b
p7cnykpv2k,"{""Q0"":2}",stay,False,M2_a_M1_a,81,V,stayed,Polysemy,2,M1_a_M2_a
p7cnykpv2k,"{""Q0"":3}",message,False,M2_a_M1_a,15,N,message,Polysemy,3,M1_a_M2_a
p7cnykpv2k,"{""Q0"":4}",contribution,False,M1_b_M2_a,5,N,contribution,Polysemy,4,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",design,True,M1_b_M1_a,6,N,design,Polysemy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":3}",stall,False,M1_a_M2_a,79,V,stalled,Polysemy,3,M1_a_M2_a
p7cnykpv2k,"{""Q0"":4}",class,False,M1_a_M2_b,4,N,class,Polysemy,4,M1_a_M2_b
p7cnykpv2k,"{""Q0"":3}",drain,False,M2_b_M1_a,88,V,drained,Polysemy,3,M1_a_M2_b
p7cnykpv2k,"{""Q0"":2}",port,False,M2_b_M1_b,68,N,port,Homonymy,2,M1_b_M2_b
