Unnamed: 0,word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2,dominance_sentence2,sd_dominance_sentence2,string
0,act,It was a desperate act.,It was a magic act.,False,Polysemy,desperate,magic,M1_a_M2_a,N,2.181818182,2.0,0.181818182,11,1.328019715,0.204110265,0.034093499,0.40041301,M1_a,M2_a,-0.5333333333333329,1.18723367940933,act
1,act,It was a desperate act.,It was a comedic act.,False,Polysemy,desperate,comedic,M1_a_M2_b,N,2.0,2.0,0.0,7,1.290994449,0.215615511,0.045926571,0.487950036,M1_a,M2_b,0.1764705882352939,1.4677914581799,act
2,act,It was a humane act.,It was a magic act.,False,Polysemy,humane,magic,M1_b_M2_a,N,2.818181818,3.0,0.181818182,11,0.981649817,0.191488087,0.042350948,0.295978556,M1_b,M2_a,0.103448275862069,1.51998185107132,act
3,act,It was a humane act.,It was a comedic act.,False,Polysemy,humane,comedic,M1_b_M2_b,N,2.80952381,3.0,0.19047619,21,0.92838826,0.225271583,0.05770725,0.202590927,M1_b,M2_b,-0.411764705882353,1.5434872662825805,act
4,act,It was a desperate act.,It was a humane act.,True,Polysemy,desperate,humane,M1_a_M1_b,N,3.9,4.0,0.1,10,0.316227766,0.167989969,0.0414403079999999,0.1,M1_a,M1_b,,,act
5,act,It was a magic act.,It was a comedic act.,True,Polysemy,magic,comedic,M2_a_M2_b,N,3.764705882,4.0,0.235294118,17,0.437237316,0.1623871919999999,0.035784066,0.1060456259999999,M2_a,M2_b,,,act
6,appeal,He had a universal appeal.,He had a legal appeal.,False,Polysemy,universal,legal,M1_a_M2_a,N,1.571428571,1.0,0.571428571,14,1.7415415680000002,0.370739162,0.1081663369999999,0.465446562,M1_a,M2_a,0.117647058823529,1.4090046549415902,appeal
7,appeal,He had a universal appeal.,He had a pending appeal.,False,Polysemy,universal,pending,M1_a_M2_b,N,1.0,0.0,1.0,18,1.328422328,0.430851221,0.150558531,0.313112146,M1_a,M2_b,-0.3529411764705879,1.7299268940690902,appeal
8,appeal,He had an undefinable appeal.,He had a legal appeal.,False,Polysemy,undefinable,legal,M1_b_M2_a,N,1.235294118,1.0,0.235294118,17,1.200490096,0.398581862,0.13264215,0.291161616,M1_b,M2_a,0.08,1.552417469626,appeal
9,appeal,He had an undefinable appeal.,He had a pending appeal.,False,Polysemy,undefinable,pending,M1_b_M2_b,N,0.7142857140000001,0.0,0.7142857140000001,7,1.253566341,0.4461236,0.182452857,0.473803541,M1_b,M2_b,0.315789473684211,1.4549773415168703,appeal
10,appeal,He had a universal appeal.,He had an undefinable appeal.,True,Polysemy,universal,undefinable,M1_a_M1_b,N,3.7,4.0,0.3,10,0.483045892,0.120313466,0.0453556779999999,0.152752523,M1_a,M1_b,,,appeal
11,appeal,He had a legal appeal.,He had a pending appeal.,True,Polysemy,legal,pending,M2_a_M2_b,N,3.272727273,4.0,0.727272727,11,0.904534034,0.0989013909999999,0.060672343,0.272727273,M2_a,M2_b,,,appeal
12,atmosphere,It was a tense atmosphere.,It was a gaseous atmosphere.,False,Polysemy,tense,gaseous,M1_a_M2_a,N,1.214285714,1.0,0.214285714,14,1.050902281,0.352736831,0.102721155,0.280865449,M1_a,M2_a,-0.64,1.31909059582729,atmosphere
13,atmosphere,It was a tense atmosphere.,It was a polluted atmosphere.,False,Polysemy,tense,polluted,M1_a_M2_b,N,1.846153846,2.0,0.153846154,13,1.28102523,0.256296635,0.068193078,0.355292473,M1_a,M2_b,0.6,1.4040757000349298,atmosphere
14,atmosphere,It was a hostile atmosphere.,It was a gaseous atmosphere.,False,Polysemy,hostile,gaseous,M1_b_M2_a,N,1.5384615380000002,2.0,0.461538462,13,0.877058019,0.252422631,0.092967808,0.243252128,M1_b,M2_a,-0.64,1.4106735979665903,atmosphere
15,atmosphere,It was a hostile atmosphere.,It was a polluted atmosphere.,False,Polysemy,hostile,polluted,M1_b_M2_b,N,2.181818182,2.0,0.181818182,11,0.8738628979999999,0.126936376,0.052345157,0.2634795769999999,M1_b,M2_b,0.307692307692308,1.65250392761083,atmosphere
16,atmosphere,It was a tense atmosphere.,It was a hostile atmosphere.,True,Polysemy,tense,hostile,M1_a_M1_b,N,4.0,4.0,0.0,11,0.0,0.129758179,0.037254393,0.0,M1_a,M1_b,,,atmosphere
17,atmosphere,It was a gaseous atmosphere.,It was a polluted atmosphere.,True,Polysemy,gaseous,polluted,M2_a_M2_b,N,3.4666666669999997,4.0,0.533333333,15,0.639940473,0.199588358,0.0378740429999999,0.16523192,M2_a,M2_b,,,atmosphere
18,bail,He bailed out the prisoner.,He bailed out the water.,False,Homonymy,prisoner,water,M1_a_M2_a,V,0.894736842,1.0,0.105263158,19,1.100239208,0.294229746,0.079534769,0.252412185,M1_a,M2_a,-1.33333333333333,0.8164965809277259,bailed
19,bail,He bailed out the prisoner.,He bailed out the liquid.,False,Homonymy,prisoner,liquid,M1_a_M2_b,V,0.666666667,1.0,0.333333333,9,0.7071067809999999,0.2873221039999999,0.0996406669999999,0.23570226,M1_a,M2_b,-1.15384615384615,1.43366126242729,bailed
20,bail,He bailed out the defendant.,He bailed out the water.,False,Homonymy,defendant,water,M1_b_M2_a,V,0.75,0.5,0.25,8,0.88640526,0.443184912,0.110985637,0.313391585,M1_b,M2_a,-1.5,1.10023920844036,bailed
21,bail,He bailed out the defendant.,He bailed out the liquid.,False,Homonymy,defendant,liquid,M1_b_M2_b,V,0.764705882,1.0,0.235294118,17,0.7524469890000001,0.42926693,0.120074809,0.182495201,M1_b,M2_b,-1.6470588235294097,0.7859052479933759,bailed
22,bail,He bailed out the prisoner.,He bailed out the defendant.,True,Homonymy,prisoner,defendant,M1_a_M1_b,V,3.083333333,4.0,0.916666667,12,1.378954369,0.140995204,0.084383667,0.3980698379999999,M1_a,M1_b,,,bailed
23,bail,He bailed out the water.,He bailed out the liquid.,True,Homonymy,water,liquid,M2_a_M2_b,V,3.083333333,3.5,0.416666667,12,1.083624669,0.126403391,0.065280318,0.312815497,M2_a,M2_b,,,bailed
